,date,Month,HS4,Description_HS4,volume,value_USD,prev_value_USD,value_MoM_pct_change,holiday,weather_season,tourism_event_count,back_to_school
29,2022-06-01,June,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",22,646467.62,226331.37999999998,1.86,1,Major Rainy Season,0,0
30,2022-07-01,July,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",20,26105.88,646467.62,-0.96,0,Major Rainy Season,0,0
31,2022-08-01,August,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",28,287395.1,26105.88,10.01,1,Major Rainy Season,0,0
32,2022-09-01,September,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",21,128194.44,287395.1,-0.55,1,Minor Rainy Season,8,1
33,2022-10-01,October,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",25,287111.87,128194.44,1.24,0,Minor Rainy Season,0,0
34,2022-11-01,November,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",31,390316.67,287111.87,0.36,0,Minor Rainy Season,0,0
35,2022-12-01,December,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",19,351659.30000000005,390316.67,-0.1,1,Harmattan (Dry),9,0
36,2022-01-01,January,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",36,62071.02,280535.72,-0.78,1,Harmattan (Dry),0,1
37,2022-02-01,February,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",28,148051.95,62071.02,1.39,0,Harmattan (Dry),1,0
38,2022-03-01,March,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",34,175146.75,148051.95,0.18,1,Hot/Dry Season,3,0
39,2022-04-01,April,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",28,208714.94999999998,175146.75,0.19,1,Major Rainy Season,1,0
40,2022-05-01,May,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",30,85998.72,208714.94999999998,-0.59,1,Major Rainy Season,1,1
41,2022-06-01,June,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",32,309279.06,85998.72,2.6,1,Major Rainy Season,0,0
42,2022-07-01,July,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",31,194426.56,309279.06,-0.37,0,Major Rainy Season,0,0
43,2022-08-01,August,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",36,222292.89,194426.56,0.14,1,Major Rainy Season,0,0
44,2022-09-01,September,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",33,63348.509999999995,222292.89,-0.72,1,Minor Rainy Season,8,1
45,2022-10-01,October,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",36,526495.1,63348.509999999995,7.31,0,Minor Rainy Season,0,0
46,2022-11-01,November,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",42,44790.82,526495.1,-0.91,0,Minor Rainy Season,0,0
47,2022-12-01,December,910,"Ginger, saffron, turmeric (curcuma)...curry and other spices",30,280535.72,44790.82,5.26,1,Harmattan (Dry),9,0
48,2022-01-01,January,1006,Rice,75,82445779.25999999,54397889.99,0.52,1,Harmattan (Dry),0,1
49,2022-02-01,February,1006,Rice,65,20268408.22,82445779.25999999,-0.75,0,Harmattan (Dry),1,0
50,2022-03-01,March,1006,Rice,63,15746510.55,20268408.22,-0.22,1,Hot/Dry Season,3,0
51,2022-04-01,April,1006,Rice,62,36889133.81,15746510.55,1.34,1,Major Rainy Season,1,0
52,2022-05-01,May,1006,Rice,55,33210430.64,36889133.81,-0.1,1,Major Rainy Season,1,1
53,2022-06-01,June,1006,Rice,58,16511763.689999998,33210430.64,-0.5,1,Major Rainy Season,0,0
54,2022-07-01,July,1006,Rice,57,33686653.93,16511763.689999998,1.04,0,Major Rainy Season,0,0
55,2022-08-01,August,1006,Rice,62,13287564.66,33686653.93,-0.61,1,Major Rainy Season,0,0
56,2022-09-01,September,1006,Rice,62,27249625.62,13287564.66,1.05,1,Minor Rainy Season,8,1
57,2022-10-01,October,1006,Rice,62,34494368.51,27249625.62,0.27,0,Minor Rainy Season,0,0
58,2022-11-01,November,1006,Rice,70,19264224.84,34494368.51,-0.44,0,Minor Rainy Season,0,0
59,2022-12-01,December,1006,Rice,72,54397889.99,19264224.84,1.82,1,Harmattan (Dry),9,0
60,2022-01-01,January,1008,"Buckwheat, millet and canary seed and other cereals, nes",9,6791.969999999999,22906.98,-0.7,1,Harmattan (Dry),0,1
61,2022-02-01,February,1008,"Buckwheat, millet and canary seed and other cereals, nes",9,23770.129999999997,6791.969999999999,2.5,0,Harmattan (Dry),1,0
62,2022-03-01,March,1008,"Buckwheat, millet and canary seed and other cereals, nes",8,6402.08,23770.129999999997,-0.73,1,Hot/Dry Season,3,0
63,2022-04-01,April,1008,"Buckwheat, millet and canary seed and other cereals, nes",9,49457.79,6402.08,6.73,1,Major Rainy Season,1,0
64,2022-05-01,May,1008,"Buckwheat, millet and canary seed and other cereals, nes",7,2960.69,49457.79,-0.94,1,Major Rainy Season,1,1
65,2022-06-01,June,1008,"Buckwheat, millet and canary seed and other cereals, nes",14,28697.03,2960.69,8.69,1,Major Rainy Season,0,0
66,2022-07-01,July,1008,"Buckwheat, millet and canary seed and other cereals, nes",10,27484.89,28697.03,-0.04,0,Major Rainy Season,0,0
67,2022-08-01,August,1008,"Buckwheat, millet and canary seed and other cereals, nes",7,16051.98,27484.89,-0.42,1,Major Rainy Season,0,0
68,2022-09-01,September,1008,"Buckwheat, millet and canary seed and other cereals, nes",15,38915.11,16051.98,1.42,1,Minor Rainy Season,8,1
69,2022-10-01,October,1008,"Buckwheat, millet and canary seed and other cereals, nes",11,19487.170000000002,38915.11,-0.5,0,Minor Rainy Season,0,0
70,2022-11-01,November,1008,"Buckwheat, millet and canary seed and other cereals, nes",7,7601.1,19487.170000000002,-0.61,0,Minor Rainy Season,0,0
71,2022-12-01,December,1008,"Buckwheat, millet and canary seed and other cereals, nes",9,22906.98,7601.1,2.01,1,Harmattan (Dry),9,0
72,2022-01-01,January,1504,"Fats and oils and their fractions, of fish or marine mammals",2,15.49,21.19,-0.27,1,Harmattan (Dry),0,1
73,2022-02-01,February,1504,"Fats and oils and their fractions, of fish or marine mammals",2,113689.5,15.49,7338.54,0,Harmattan (Dry),1,0
74,2022-03-01,March,1504,"Fats and oils and their fractions, of fish or marine mammals",2,116907.72,113689.5,0.03,1,Hot/Dry Season,3,0
75,2022-05-01,May,1504,"Fats and oils and their fractions, of fish or marine mammals",3,77659.36,116907.72,-0.34,1,Major Rainy Season,1,1
76,2022-07-01,July,1504,"Fats and oils and their fractions, of fish or marine mammals",2,76825.42,77659.36,-0.01,0,Major Rainy Season,0,0
77,2022-10-01,October,1504,"Fats and oils and their fractions, of fish or marine mammals",1,867.42,76825.42,-0.99,0,Minor Rainy Season,0,0
78,2022-11-01,November,1504,"Fats and oils and their fractions, of fish or marine mammals",2,109944.3,867.42,125.75,0,Minor Rainy Season,0,0
79,2022-12-01,December,1504,"Fats and oils and their fractions, of fish or marine mammals",1,21.19,109944.3,-1.0,1,Harmattan (Dry),9,0
80,2022-01-01,January,1508,Ground-nut oil and its fractions,2,714.8399999999999,1613.22,-0.56,1,Harmattan (Dry),0,1
81,2022-02-01,February,1508,Ground-nut oil and its fractions,1,98.22,714.8399999999999,-0.86,0,Harmattan (Dry),1,0
82,2022-03-01,March,1508,Ground-nut oil and its fractions,3,379.49,98.22,2.86,1,Hot/Dry Season,3,0
83,2022-04-01,April,1508,Ground-nut oil and its fractions,2,3766.4300000000003,379.49,8.92,1,Major Rainy Season,1,0
84,2022-05-01,May,1508,Ground-nut oil and its fractions,2,2749.87,3766.4300000000003,-0.27,1,Major Rainy Season,1,1
85,2022-06-01,June,1508,Ground-nut oil and its fractions,4,2088.25,2749.87,-0.24,1,Major Rainy Season,0,0
86,2022-07-01,July,1508,Ground-nut oil and its fractions,1,147.64,2088.25,-0.93,0,Major Rainy Season,0,0
87,2022-08-01,August,1508,Ground-nut oil and its fractions,5,4082.05,147.64,26.65,1,Major Rainy Season,0,0
88,2022-09-01,September,1508,Ground-nut oil and its fractions,3,2372.99,4082.05,-0.42,1,Minor Rainy Season,8,1
89,2022-10-01,October,1508,Ground-nut oil and its fractions,5,1666.3,2372.99,-0.3,0,Minor Rainy Season,0,0
90,2022-11-01,November,1508,Ground-nut oil and its fractions,3,215.0,1666.3,-0.87,0,Minor Rainy Season,0,0
91,2022-12-01,December,1508,Ground-nut oil and its fractions,4,1613.22,215.0,6.5,1,Harmattan (Dry),9,0
92,2022-01-01,January,1511,Palm oil and its fractions,33,30491822.85,23187106.580000002,0.32,1,Harmattan (Dry),0,1
93,2022-02-01,February,1511,Palm oil and its fractions,30,19158257.5,30491822.85,-0.37,0,Harmattan (Dry),1,0
94,2022-03-01,March,1511,Palm oil and its fractions,27,16001923.68,19158257.5,-0.16,1,Hot/Dry Season,3,0
95,2022-04-01,April,1511,Palm oil and its fractions,31,14762287.919999998,16001923.68,-0.08,1,Major Rainy Season,1,0
96,2022-05-01,May,1511,Palm oil and its fractions,24,24180752.639999997,14762287.919999998,0.64,1,Major Rainy Season,1,1
97,2022-06-01,June,1511,Palm oil and its fractions,32,6979080.87,24180752.639999997,-0.71,1,Major Rainy Season,0,0
98,2022-07-01,July,1511,Palm oil and its fractions,29,7378445.5,6979080.87,0.06,0,Major Rainy Season,0,0
99,2022-08-01,August,1511,Palm oil and its fractions,31,5432901.44,7378445.5,-0.26,1,Major Rainy Season,0,0
100,2022-09-01,September,1511,Palm oil and its fractions,33,8665034.49,5432901.44,0.59,1,Minor Rainy Season,8,1
101,2022-10-01,October,1511,Palm oil and its fractions,40,14651580.3,8665034.49,0.69,0,Minor Rainy Season,0,0
102,2022-11-01,November,1511,Palm oil and its fractions,37,23646171.92,14651580.3,0.61,0,Minor Rainy Season,0,0
103,2022-12-01,December,1511,Palm oil and its fractions,50,23187106.580000002,23646171.92,-0.02,1,Harmattan (Dry),9,0
104,2022-01-01,January,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",5,8793.2,8907.6,-0.01,1,Harmattan (Dry),0,1
105,2022-02-01,February,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",7,749677.05,8793.2,84.26,0,Harmattan (Dry),1,0
106,2022-03-01,March,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",3,566240.7000000001,749677.05,-0.24,1,Hot/Dry Season,3,0
107,2022-04-01,April,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",5,8609.48,566240.7000000001,-0.98,1,Major Rainy Season,1,0
108,2022-05-01,May,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",6,550554.65,8609.48,62.95,1,Major Rainy Season,1,1
109,2022-06-01,June,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",4,406171.44,550554.65,-0.26,1,Major Rainy Season,0,0
110,2022-07-01,July,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",4,956627.2,406171.44,1.36,0,Major Rainy Season,0,0
111,2022-08-01,August,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",2,4397.280000000001,956627.2,-1.0,1,Major Rainy Season,0,0
112,2022-09-01,September,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",3,1286.71,4397.280000000001,-0.71,1,Minor Rainy Season,8,1
113,2022-10-01,October,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",5,791.78,1286.71,-0.38,0,Minor Rainy Season,0,0
114,2022-11-01,November,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",6,36795.84,791.78,45.47,0,Minor Rainy Season,0,0
115,2022-12-01,December,1513,"Coconut (copra), palm kernel or babassu oil and their fractions",4,8907.6,36795.84,-0.76,1,Harmattan (Dry),9,0
116,2022-01-01,January,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,15,1770164.66,2690931.0,-0.34,1,Harmattan (Dry),0,1
117,2022-02-01,February,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,16,616855.93,1770164.66,-0.65,0,Harmattan (Dry),1,0
118,2022-03-01,March,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,17,4153183.06,616855.93,5.73,1,Hot/Dry Season,3,0
119,2022-04-01,April,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,13,6912.28,4153183.06,-1.0,1,Major Rainy Season,1,0
120,2022-05-01,May,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,18,1299607.15,6912.28,187.01,1,Major Rainy Season,1,1
121,2022-06-01,June,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,16,297524.32999999996,1299607.15,-0.77,1,Major Rainy Season,0,0
122,2022-07-01,July,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,16,1416663.64,297524.32999999996,3.76,0,Major Rainy Season,0,0
123,2022-08-01,August,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,13,9028.02,1416663.64,-0.99,1,Major Rainy Season,0,0
124,2022-09-01,September,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,13,51418.08,9028.02,4.7,1,Minor Rainy Season,8,1
125,2022-10-01,October,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,13,35176.68,51418.08,-0.32,0,Minor Rainy Season,0,0
126,2022-11-01,November,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,11,489107.97,35176.68,12.9,0,Minor Rainy Season,0,0
127,2022-12-01,December,1515,Other fixed vegetable fats and oils (incl. jojoba oil) and fractions,16,2690931.0,489107.97,4.5,1,Harmattan (Dry),9,0
128,2022-01-01,January,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",8,12905.21,387349.59,-0.97,1,Harmattan (Dry),0,1
129,2022-02-01,February,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",7,490884.95,12905.21,37.04,0,Harmattan (Dry),1,0
130,2022-03-01,March,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",13,658386.99,490884.95,0.34,1,Hot/Dry Season,3,0
131,2022-04-01,April,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",6,21678.07,658386.99,-0.97,1,Major Rainy Season,1,0
132,2022-05-01,May,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",8,354898.69,21678.07,15.37,1,Major Rainy Season,1,1
133,2022-06-01,June,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",5,1190.93,354898.69,-1.0,1,Major Rainy Season,0,0
134,2022-07-01,July,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",5,571500.62,1190.93,478.88,0,Major Rainy Season,0,0
135,2022-08-01,August,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",11,121202.64,571500.62,-0.79,1,Major Rainy Season,0,0
136,2022-09-01,September,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",3,995.22,121202.64,-0.99,1,Minor Rainy Season,8,1
137,2022-10-01,October,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",7,435804.94,995.22,436.9,0,Minor Rainy Season,0,0
138,2022-11-01,November,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",13,272666.4,435804.94,-0.37,0,Minor Rainy Season,0,0
139,2022-12-01,December,1516,"Animal or vegetable fats and oils and fractions, hydrogenated, etc",6,387349.59,272666.4,0.42,1,Harmattan (Dry),9,0
140,2022-01-01,January,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",15,5505940.699999999,5672618.13,-0.03,1,Harmattan (Dry),0,1
141,2022-02-01,February,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",15,3661522.58,5505940.699999999,-0.33,0,Harmattan (Dry),1,0
142,2022-03-01,March,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",19,2500737.26,3661522.58,-0.32,1,Hot/Dry Season,3,0
143,2022-04-01,April,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",17,3289711.53,2500737.26,0.32,1,Major Rainy Season,1,0
144,2022-05-01,May,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",14,2776949.96,3289711.53,-0.16,1,Major Rainy Season,1,1
145,2022-06-01,June,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",17,2266097.34,2776949.96,-0.18,1,Major Rainy Season,0,0
146,2022-07-01,July,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",19,3052329.5700000003,2266097.34,0.35,0,Major Rainy Season,0,0
147,2022-08-01,August,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",19,2777921.37,3052329.5700000003,-0.09,1,Major Rainy Season,0,0
148,2022-09-01,September,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",20,2261723.39,2777921.37,-0.19,1,Minor Rainy Season,8,1
149,2022-10-01,October,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",17,2063693.51,2261723.39,-0.09,0,Minor Rainy Season,0,0
150,2022-11-01,November,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",12,2315121.05,2063693.51,0.12,0,Minor Rainy Season,0,0
151,2022-12-01,December,1517,"Margarine; edible preparations of animal or vegetable fats or oils, nes",19,5672618.13,2315121.05,1.45,1,Harmattan (Dry),9,0
152,2022-01-01,January,1518,"Animal or vegetable fats and oils... chemically modified, nes",5,545.8199999999999,1783.26,-0.69,1,Harmattan (Dry),0,1
153,2022-02-01,February,1518,"Animal or vegetable fats and oils... chemically modified, nes",4,1644.58,545.8199999999999,2.01,0,Harmattan (Dry),1,0
154,2022-03-01,March,1518,"Animal or vegetable fats and oils... chemically modified, nes",5,1064.99,1644.58,-0.35,1,Hot/Dry Season,3,0
155,2022-04-01,April,1518,"Animal or vegetable fats and oils... chemically modified, nes",4,608.88,1064.99,-0.43,1,Major Rainy Season,1,0
156,2022-05-01,May,1518,"Animal or vegetable fats and oils... chemically modified, nes",4,2179.9300000000003,608.88,2.58,1,Major Rainy Season,1,1
157,2022-06-01,June,1518,"Animal or vegetable fats and oils... chemically modified, nes",2,163.32,2179.9300000000003,-0.93,1,Major Rainy Season,0,0
158,2022-07-01,July,1518,"Animal or vegetable fats and oils... chemically modified, nes",1,76.3,163.32,-0.53,0,Major Rainy Season,0,0
159,2022-08-01,August,1518,"Animal or vegetable fats and oils... chemically modified, nes",3,1946.31,76.3,24.51,1,Major Rainy Season,0,0
160,2022-09-01,September,1518,"Animal or vegetable fats and oils... chemically modified, nes",2,16604.23,1946.31,7.53,1,Minor Rainy Season,8,1
161,2022-10-01,October,1518,"Animal or vegetable fats and oils... chemically modified, nes",2,67955.44,16604.23,3.09,0,Minor Rainy Season,0,0
162,2022-11-01,November,1518,"Animal or vegetable fats and oils... chemically modified, nes",4,67323.15,67955.44,-0.01,0,Minor Rainy Season,0,0
163,2022-12-01,December,1518,"Animal or vegetable fats and oils... chemically modified, nes",3,1783.26,67323.15,-0.97,1,Harmattan (Dry),9,0
164,2022-01-01,January,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",32,24676657.810000002,7194457.35,2.43,1,Harmattan (Dry),0,1
165,2022-02-01,February,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",31,24246621.27,24676657.810000002,-0.02,0,Harmattan (Dry),1,0
166,2022-03-01,March,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",30,15197234.41,24246621.27,-0.37,1,Hot/Dry Season,3,0
167,2022-04-01,April,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",35,11661450.38,15197234.41,-0.23,1,Major Rainy Season,1,0
168,2022-05-01,May,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",33,7032808.46,11661450.38,-0.4,1,Major Rainy Season,1,1
169,2022-06-01,June,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",32,17750746.2,7032808.46,1.52,1,Major Rainy Season,0,0
170,2022-07-01,July,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",30,3334015.3099999996,17750746.2,-0.81,0,Major Rainy Season,0,0
171,2022-08-01,August,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",38,18026379.7,3334015.3099999996,4.41,1,Major Rainy Season,0,0
172,2022-09-01,September,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",32,14528051.459999999,18026379.7,-0.19,1,Minor Rainy Season,8,1
173,2022-10-01,October,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",35,14538318.0,14528051.459999999,0.0,0,Minor Rainy Season,0,0
174,2022-11-01,November,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",33,5277160.46,14538318.0,-0.64,0,Minor Rainy Season,0,0
175,2022-12-01,December,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",40,7194457.35,5277160.46,0.36,1,Harmattan (Dry),9,0
176,2022-01-01,January,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,20,1169588.81,853362.25,0.37,1,Harmattan (Dry),0,1
177,2022-02-01,February,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,18,1347256.95,1169588.81,0.15,0,Harmattan (Dry),1,0
178,2022-03-01,March,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,24,2747963.87,1347256.95,1.04,1,Hot/Dry Season,3,0
179,2022-04-01,April,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,20,2057481.3900000001,2747963.87,-0.25,1,Major Rainy Season,1,0
180,2022-05-01,May,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,18,2329706.9699999997,2057481.3900000001,0.13,1,Major Rainy Season,1,1
181,2022-06-01,June,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,23,2594038.1900000004,2329706.9699999997,0.11,1,Major Rainy Season,0,0
182,2022-07-01,July,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,23,2792485.32,2594038.1900000004,0.08,0,Major Rainy Season,0,0
183,2022-08-01,August,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,23,1803619.82,2792485.32,-0.35,1,Major Rainy Season,0,0
184,2022-09-01,September,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,26,654754.04,1803619.82,-0.64,1,Minor Rainy Season,8,1
185,2022-10-01,October,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,15,779644.39,654754.04,0.19,0,Minor Rainy Season,0,0
186,2022-11-01,November,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,17,547436.25,779644.39,-0.3,0,Minor Rainy Season,0,0
187,2022-12-01,December,1702,Other sugars in solid form; sugar syrups; artificial honey and caramel,16,853362.25,547436.25,0.56,1,Harmattan (Dry),9,0
188,2022-01-01,January,1703,Molasses resulting from the extraction or refining of sugar,1,479.48,9984.17,-0.95,1,Harmattan (Dry),0,1
189,2022-02-01,February,1703,Molasses resulting from the extraction or refining of sugar,3,856.25,479.48,0.79,0,Harmattan (Dry),1,0
190,2022-03-01,March,1703,Molasses resulting from the extraction or refining of sugar,2,541.16,856.25,-0.37,1,Hot/Dry Season,3,0
191,2022-04-01,April,1703,Molasses resulting from the extraction or refining of sugar,2,609.52,541.16,0.13,1,Major Rainy Season,1,0
192,2022-06-01,June,1703,Molasses resulting from the extraction or refining of sugar,2,995.06,609.52,0.63,1,Major Rainy Season,0,0
193,2022-08-01,August,1703,Molasses resulting from the extraction or refining of sugar,1,115.25,995.06,-0.88,1,Major Rainy Season,0,0
194,2022-09-01,September,1703,Molasses resulting from the extraction or refining of sugar,1,1074.73,115.25,8.33,1,Minor Rainy Season,8,1
195,2022-11-01,November,1703,Molasses resulting from the extraction or refining of sugar,3,142.14000000000001,1074.73,-0.87,0,Minor Rainy Season,0,0
196,2022-12-01,December,1703,Molasses resulting from the extraction or refining of sugar,3,9984.17,142.14000000000001,69.24,1,Harmattan (Dry),9,0
197,2022-01-01,January,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",31,1418313.9400000002,1696823.5999999999,-0.16,1,Harmattan (Dry),0,1
198,2022-02-01,February,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",33,1233204.1099999999,1418313.9400000002,-0.13,0,Harmattan (Dry),1,0
199,2022-03-01,March,1704,"Sugar confectionery (incl. white chocolate), not containing cocoa",35,1289001.76,1233204.1099999999,0.05,1,Hot/Dry Season,3,0
